año,carrera,ingresos_H,ingresos_M,puntaje_H,puntaje_M,total_ingresos,brecha_ingresos,brecha_puntaje,titulaciones_M,titulaciones_H,total_titulaciones,brecha_titulaciones,asistencia_H,asistencia_M,autoconfianza_H,autoconfianza_M,motivacion_H,motivacion_M,participacion_H,participacion_M,brecha_motivacion,brecha_asistencia,brecha_participacion,brecha_autoconfianza,repr_prom_H,repr_prom_M,repr_min_H,repr_min_M,repr_max_H,repr_max_M,brecha_reprobaciones,riesgo_alto_H,riesgo_alto_M,riesgo_bajo_H,riesgo_bajo_M,riesgo_medio_H,riesgo_medio_M,asistencia_H_bajo,asistencia_M_bajo,autoconfianza_H_bajo,autoconfianza_M_bajo,motivacion_H_bajo,motivacion_M_bajo,participacion_H_bajo,participacion_M_bajo,repr_prom_H_bajo,repr_prom_M_bajo,repr_min_H_bajo,repr_min_M_bajo,repr_max_H_bajo,repr_max_M_bajo,asistencia_H_medio,asistencia_M_medio,autoconfianza_H_medio,autoconfianza_M_medio,motivacion_H_medio,motivacion_M_medio,participacion_H_medio,participacion_M_medio,repr_prom_H_medio,repr_prom_M_medio,repr_min_H_medio,repr_min_M_medio,repr_max_H_medio,repr_max_M_medio,asistencia_H_alto,asistencia_M_alto,autoconfianza_H_alto,autoconfianza_M_alto,motivacion_H_alto,motivacion_M_alto,participacion_H_alto,participacion_M_alto,repr_prom_H_alto,repr_prom_M_alto,repr_min_H_alto,repr_min_M_alto,repr_max_H_alto,repr_max_M_alto
2023,Ingeniería Civil Industrial,,,,,,,,37.0,62.0,99.0,-25.0,4.16,3.35,4.42,3.12,4.26,4.06,3.03,2.53,-0.2,-0.81,-0.5,-1.3,4.0,5.0,0.0,0.0,1.5,2.35,1.0,0.0,29.41,57.89,17.65,42.11,52.94,4.32,3.0,4.68,3.0,4.18,4.0,3.23,4.0,2.0,3.0,0.0,3.0,1.36,3.0,3.94,3.67,4.06,3.22,4.38,4.11,2.75,2.33,4.0,2.0,0.0,0.0,1.69,0.67,,3.0,,3.0,,4.0,,2.0,,5.0,,5.0,,5.0
2024,Ingeniería Civil Industrial,,,,,,,,44.0,70.0,114.0,-26.0,5.0,,1.0,,5.0,,4.0,,,,,,0.0,,0.0,,0.0,,,0.0,,100.0,,0.0,,5.0,,1.0,,5.0,,4.0,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025,Ingeniería Civil Industrial,,,,,,,,,,,,3.97,3.9,4.32,3.1,4.5,4.81,3.18,3.33,0.31,-0.07,0.15,-1.22,2.0,0.0,0.0,0.0,0.06,0.0,-2.0,6.94,0.0,59.72,57.14,33.33,42.86,4.53,3.83,4.33,3.17,4.79,4.67,3.65,2.83,2.0,0.0,0.0,0.0,0.09,0.0,3.17,4.0,4.17,3.0,4.08,5.0,2.79,4.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,,5.0,,4.0,,1.0,,0.0,,0.0,,0.0,
2007,Ingeniería Civil Informática,,,,,,,,6.0,21.0,27.0,-15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008,Ingeniería Civil Informática,,,,,,,,3.0,21.0,24.0,-18.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,Ingeniería Civil Informática,,,,,,,,6.0,19.0,25.0,-13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,Ingeniería Civil Informática,,,,,,,,9.0,28.0,37.0,-19.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,Ingeniería Civil Informática,,,,,,,,5.0,17.0,22.0,-12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,Ingeniería Civil Informática,,,,,,,,5.0,21.0,26.0,-16.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,Ingeniería Civil Informática,55.0,7.0,634.8,632.57,62.0,-48.0,-2.23,2.0,23.0,25.0,-21.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,Ingeniería Civil Informática,44.0,6.0,660.98,675.5,50.0,-38.0,14.52,3.0,21.0,24.0,-18.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,Ingeniería Civil Informática,43.0,11.0,659.91,674.91,54.0,-32.0,15.0,2.0,15.0,17.0,-13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,Ingeniería Civil Informática,44.0,6.0,662.82,709.5,50.0,-38.0,46.68,3.0,21.0,24.0,-18.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,Ingeniería Civil Informática,44.0,5.0,660.32,697.0,49.0,-39.0,36.68,1.0,22.0,23.0,-21.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,Ingeniería Civil Informática,,,,,,,,3.0,20.0,23.0,-17.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,Ingeniería Civil Informática,,,,,,,,1.0,14.0,15.0,-13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020,Ingeniería Civil Informática,,,,,,,,2.0,12.0,14.0,-10.0,3.0,3.0,3.0,4.0,4.0,4.0,3.0,2.0,0.0,0.0,-1.0,1.0,5.0,6.0,5.0,6.0,5.0,6.0,1.0,0.0,0.0,100.0,100.0,0.0,0.0,3.0,3.0,3.0,4.0,4.0,4.0,3.0,2.0,5.0,6.0,5.0,6.0,5.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021,Ingeniería Civil Informática,,,,,,,,5.0,30.0,35.0,-25.0,3.36,,3.0,,4.0,,2.27,,,,,,12.0,,4.0,,8.55,,,0.0,,27.27,,72.73,,3.0,,3.0,,4.0,,3.0,,10.0,,10.0,,10.0,,3.5,,3.0,,4.0,,2.0,,12.0,,4.0,,8.0,,,,,,,,,,,,,,,
2022,Ingeniería Civil Informática,,,,,,,,4.0,17.0,21.0,-13.0,4.47,,4.53,,3.71,,2.71,,,,,,2.0,,0.0,,0.59,,,0.0,,100.0,,0.0,,4.47,,4.53,,3.71,,2.71,,2.0,,0.0,,0.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023,Ingeniería Civil Informática,,,,,,,,2.0,23.0,25.0,-21.0,3.05,1.0,4.29,1.0,2.57,4.0,1.57,3.0,1.43,-2.05,1.43,-3.29,5.0,9.0,1.0,9.0,3.52,9.0,4.0,47.62,0.0,4.76,0.0,47.62,100.0,4.0,,5.0,,4.0,,3.0,,4.0,,4.0,,4.0,,4.0,1.0,3.5,1.0,3.0,4.0,2.0,3.0,5.0,9.0,1.0,9.0,3.0,9.0,2.0,,5.0,,2.0,,1.0,,4.0,,4.0,,4.0,
2024,Ingeniería Civil Informática,,,,,,,,3.0,32.0,35.0,-29.0,3.8,3.0,3.49,3.0,4.0,4.0,2.89,3.0,0.0,-0.8,0.11,-0.49,1.0,0.0,0.0,0.0,0.17,0.0,-1.0,8.57,0.0,51.43,0.0,40.0,100.0,4.44,,3.0,,4.06,,2.61,,0.0,,0.0,,0.0,,3.36,3.0,4.0,3.0,4.14,4.0,3.21,3.0,1.0,0.0,0.0,0.0,0.21,0.0,2.0,,4.0,,3.0,,3.0,,1.0,,1.0,,1.0,
2025,Ingeniería Civil Informática,,,,,,,,,,,,4.0,3.0,3.2,4.0,4.6,5.0,3.2,1.8,0.4,-1.0,-1.4,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.0,0.0,20.0,100.0,4.0,,3.25,,4.75,,3.5,,0.0,,0.0,,0.0,,4.0,3.0,3.0,4.0,4.0,5.0,2.0,1.8,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,


